order_id,item,unit_price,quantity
1,Taco,18.46,2
1,Burger,15.55,3
1,Sandwich,17.34,1
2,Taco,8.08,3
3,Steak,20.05,3
4,Chicken Wings,22.15,3
4,Taco,19.9,2
4,Sushi,8.31,3
4,Dumplings,24.27,3
5,Fries,23.51,1
5,Pasta,7.0,1
5,Pizza,19.12,2
6,Burger,12.7,2
6,Pizza,21.99,1
6,Fries,24.63,3
7,Chicken Wings,19.28,3
7,Dumplings,3.8,3
7,Coffee,17.47,1
7,Pasta,11.46,3
7,Dumplings,13.58,1
8,Smoothie,12.07,1
8,Taco,7.29,3
8,Sandwich,16.23,1
8,Sushi,8.32,3
9,Salad,8.34,3
9,Ice Cream,13.71,3
9,Burger,12.3,3
10,Ice Cream,21.33,3
10,Dumplings,3.42,3
11,Noodle Bowl,3.29,2
11,Sushi,7.1,1
11,Smoothie,6.54,3
11,Salad,24.19,1
11,Pasta,23.06,2
12,Pasta,7.17,3
13,Coffee,13.45,1
13,Salad,18.64,1
14,Dumplings,21.86,3
14,Salad,18.63,2
14,Pizza,13.1,1
14,Dumplings,13.46,1
15,Chicken Wings,10.64,2
15,Pasta,18.69,2
15,Salad,6.44,2
16,Burger,10.68,2
16,Ice Cream,24.96,1
16,Sandwich,22.39,1
16,Pasta,17.51,3
17,Burger,6.38,1
17,Burger,18.87,2
18,Chicken Wings,14.63,3
18,Sandwich,15.71,2
18,Fries,12.57,2
19,Smoothie,19.21,1
19,Fries,12.42,1
20,Pasta,7.39,2
21,Chicken Wings,16.28,3
21,Pasta,8.85,1
22,Coffee,4.12,1
22,Pasta,17.61,3
22,Salad,18.69,1
22,Ice Cream,6.5,2
22,Pasta,7.03,3
23,Dumplings,21.8,3
23,Sushi,23.22,2
24,Coffee,13.37,1
24,Ice Cream,13.55,2
24,Dumplings,7.28,1
24,Sandwich,15.97,3
25,Salad,13.58,1
25,Coffee,5.08,3
25,Smoothie,5.2,2
25,Chicken Wings,12.68,2
26,Smoothie,22.64,2
26,Smoothie,3.57,3
27,Coffee,3.5,1
27,Ice Cream,22.94,2
